Orthogroup	ath	zma
OG0000035	AT1G80660.1, AT2G07560.1, AT3G42640.1	Zm00001d052022_P002, Zm00001d045122_P001
OG0000035	AT3G47950.1, AT5G62670.1	Zm00001d007775_P001, Zm00001d019062_P005, Zm00001d021000_P008, Zm00001d027603_P001, Zm00001d033552_P003, Zm00001d041214_P003
OG0000036	AT3G55900.1	Zm00001d003607_P001, Zm00001d003606_P001, Zm00001d003605_P001
OG0000039	AT4G40040.3	Zm00001d029394_P003
OG0000039	AT4G40040.3	Zm00001d036036_P001
OG0000039	AT4G40040.3	Zm00001d045475_P001
OG0000039	AT4G40040.3	Zm00001d016908_P006
OG0000039	AT5G10980.1	Zm00001d029394_P003
OG0000039	AT5G10980.1	Zm00001d036036_P001
OG0000039	AT5G10980.1	Zm00001d045475_P001
OG0000039	AT5G10980.1	Zm00001d016908_P006
OG0000039	AT4G40030.2	Zm00001d003493_P001
OG0000039	AT1G09200.1	Zm00001d025406_P001
OG0000039	AT1G09200.1	Zm00001d025382_P001
OG0000039	AT1G09200.1	Zm00001d003730_P001
OG0000039	AT1G09200.1	Zm00001d003725_P001
OG0000039	AT1G09200.1	Zm00001d036250_P001
OG0000039	AT1G09200.1	Zm00001d039790_P001
OG0000039	AT1G09200.1	Zm00001d041672_P001
OG0000039	AT1G09200.1	Zm00001d045268_P001
OG0000039	AT1G09200.1	Zm00001d050697_P001
OG0000039	AT3G27360.1	Zm00001d025406_P001
OG0000039	AT3G27360.1	Zm00001d025382_P001
OG0000039	AT3G27360.1	Zm00001d003730_P001
OG0000039	AT3G27360.1	Zm00001d003725_P001
OG0000039	AT3G27360.1	Zm00001d036250_P001
OG0000039	AT3G27360.1	Zm00001d039790_P001
OG0000039	AT3G27360.1	Zm00001d041672_P001
OG0000039	AT3G27360.1	Zm00001d045268_P001
OG0000039	AT3G27360.1	Zm00001d050697_P001
OG0000039	AT5G65360.1	Zm00001d025406_P001
OG0000039	AT5G65360.1	Zm00001d025382_P001
OG0000039	AT5G65360.1	Zm00001d003730_P001
OG0000039	AT5G65360.1	Zm00001d003725_P001
OG0000039	AT5G65360.1	Zm00001d036250_P001
OG0000039	AT5G65360.1	Zm00001d039790_P001
OG0000039	AT5G65360.1	Zm00001d041672_P001
OG0000039	AT5G65360.1	Zm00001d045268_P001
OG0000039	AT5G65360.1	Zm00001d050697_P001
OG0000039	AT5G10400.1	Zm00001d025406_P001
OG0000039	AT5G10400.1	Zm00001d025382_P001
OG0000039	AT5G10400.1	Zm00001d003730_P001
OG0000039	AT5G10400.1	Zm00001d003725_P001
OG0000039	AT5G10400.1	Zm00001d036250_P001
OG0000039	AT5G10400.1	Zm00001d039790_P001
OG0000039	AT5G10400.1	Zm00001d041672_P001
OG0000039	AT5G10400.1	Zm00001d045268_P001
OG0000039	AT5G10400.1	Zm00001d050697_P001
OG0000039	AT5G10390.1	Zm00001d025406_P001
OG0000039	AT5G10390.1	Zm00001d025382_P001
OG0000039	AT5G10390.1	Zm00001d003730_P001
OG0000039	AT5G10390.1	Zm00001d003725_P001
OG0000039	AT5G10390.1	Zm00001d036250_P001
OG0000039	AT5G10390.1	Zm00001d039790_P001
OG0000039	AT5G10390.1	Zm00001d041672_P001
OG0000039	AT5G10390.1	Zm00001d045268_P001
OG0000039	AT5G10390.1	Zm00001d050697_P001
OG0000039	AT5G65350.1	Zm00001d042730_P001
OG0000041	AT2G36380.1, AT1G66950.1	Zm00001d025012_P003, Zm00001d034940_P003, Zm00001d009037_P003, Zm00001d021647_P003
OG0000041	AT2G26910.1	Zm00001d039631_P002
OG0000041	AT3G30842.1, AT1G15520.1	Zm00001d048860_P001, Zm00001d053612_P003, Zm00001d020134_P003, Zm00001d011319_P003, Zm00001d044443_P001, Zm00001d044442_P036, Zm00001d011315_P002
OG0000042	AT4G20860.1, AT5G44360.2, AT4G20820.1, AT5G44440.2, AT5G44410.1, AT1G30700.1, AT1G30730.1, AT1G30720.1, AT2G34810.1, AT1G30710.1, AT1G34575.1, AT1G30740.2, AT4G20830.1, AT4G20840.1, AT1G11770.1, AT1G01980.1	Zm00001d037009_P001, Zm00001d046322_P001, Zm00001d049169_P001, Zm00001d037008_P001, Zm00001d046319_P001, Zm00001d037005_P001, Zm00001d046318_P001
OG0000043	AT4G03220.1	Zm00001d007778_P001
OG0000044	AT5G31412.1, AT1G43260.1	Zm00001d028076_P001, Zm00001d024320_P001, Zm00001d032589_P001, Zm00001d039126_P001, Zm00001d000109_P002, Zm00001d021585_P001, Zm00001d023926_P001, Zm00001d004548_P001, Zm00001d028277_P001, Zm00001d021994_P001, Zm00001d014373_P001, Zm00001d023816_P001, Zm00001d030380_P001, Zm00001d006434_P001, Zm00001d024125_P001, Zm00001d028621_P001, Zm00001d037068_P001, Zm00001d032451_P001, Zm00001d040643_P001, Zm00001d023752_P001, Zm00001d027513_P001, Zm00001d011235_P001, Zm00001d036085_P001, Zm00001d003714_P001, Zm00001d013884_P001, Zm00001d003656_P001, Zm00001d024345_P001, Zm00001d031987_P001, Zm00001d033598_P001, Zm00001d023334_P001, Zm00001d047007_P001, Zm00001d030341_P001, Zm00001d041038_P001, Zm00001d035141_P001, Zm00001d010573_P001, Zm00001d009921_P001, Zm00001d021606_P001, Zm00001d020298_P001, Zm00001d045672_P004, Zm00001d045095_P001, Zm00001d024930_P001, Zm00001d016348_P004, Zm00001d042221_P001, Zm00001d030185_P001, Zm00001d024400_P002, Zm00001d012328_P004, Zm00001d043844_P001, Zm00001d051907_P001, Zm00001d003098_P004, Zm00001d051857_P003, Zm00001d045734_P001, Zm00001d037780_P001, Zm00001d031458_P005, Zm00001d037855_P001, Zm00001d051949_P001, Zm00001d026387_P005, Zm00001d014111_P003, Zm00001d040251_P001, Zm00001d040765_P002, Zm00001d020189_P001, Zm00001d045656_P002, Zm00001d013020_P001
OG0000053	AT3G25490.1, AT1G21270.1, AT1G21230.1, AT1G21250.1, AT1G21240.1, AT1G21245.1, AT1G21210.1, AT1G22720.1	Zm00001d020955_P001, Zm00001d017264_P001, Zm00001d003069_P001, Zm00001d036999_P001, Zm00001d003021_P001, Zm00001d003023_P001
OG0000056	AT2G37470.1, AT3G09480.1, AT5G02570.1, AT3G53650.1	Zm00001d012423_P001, Zm00001d042930_P001, Zm00001d044247_P001, Zm00001d007084_P001, Zm00001d039821_P001, Zm00001d051591_P001, Zm00001d050100_P001, Zm00001d025913_P001, Zm00001d032070_P001, Zm00001d011236_P001, Zm00001d005789_P001, Zm00001d020580_P001
OG0000057	AT2G42090.1, AT2G42100.1, AT2G42170.3, AT1G49240.1, AT3G18780.3	Zm00001d033790_P001, Zm00001d013410_P001
OG0000057	AT5G09810.1	Zm00001d034761_P002, Zm00001d053177_P004, Zm00001d010159_P002, Zm00001d008746_P001, Zm00001d012277_P001, Zm00001d042731_P002, Zm00001d032480_P002, Zm00001d013873_P001
OG0000057	AT2G37620.1, AT3G53750.2, AT3G46520.2, AT5G59370.2	Zm00001d035722_P007, Zm00001d035720_P002, Zm00001d011086_P005
OG0000058	AT4G16260.1, AT3G57270.1, AT3G57260.2, AT3G57240.1	Zm00001d042141_P001, Zm00001d038052_P001, Zm00001d038049_P001, Zm00001d009876_P001, Zm00001d042143_P001, Zm00001d042140_P001, Zm00001d042138_P001
OG0000059	AT1G09310.1	Zm00001d018683_P001, Zm00001d018682_P001, Zm00001d002017_P001, Zm00001d002015_P001, Zm00001d002014_P001, Zm00001d002018_P001, Zm00001d002016_P001
OG0000065	AT2G28740.1	Zm00001d020585_P001
OG0000065	AT2G28740.1	Zm00001d021477_P001
OG0000065	AT2G28740.1	Zm00001d020584_P001
OG0000065	AT2G28740.1	Zm00001d026015_P001
OG0000065	AT2G28740.1	Zm00001d005791_P001
OG0000065	AT2G28740.1	Zm00001d002543_P001
OG0000065	AT2G28740.1	Zm00001d002546_P001
OG0000065	AT2G28740.1	Zm00001d027394_P001
OG0000065	AT2G28740.1	Zm00001d039733_P001
OG0000065	AT2G28740.1	Zm00001d042954_P001
OG0000065	AT2G28740.1	Zm00001d008669_P001
OG0000065	AT2G28740.1	Zm00001d012439_P001
OG0000065	AT2G28740.1	Zm00001d010575_P001
OG0000065	AT2G28740.1	Zm00001d051478_P001
OG0000065	AT1G07820.1	Zm00001d020585_P001
OG0000065	AT1G07820.1	Zm00001d021477_P001
OG0000065	AT1G07820.1	Zm00001d020584_P001
OG0000065	AT1G07820.1	Zm00001d026015_P001
OG0000065	AT1G07820.1	Zm00001d005791_P001
OG0000065	AT1G07820.1	Zm00001d002543_P001
OG0000065	AT1G07820.1	Zm00001d002546_P001
OG0000065	AT1G07820.1	Zm00001d027394_P001
OG0000065	AT1G07820.1	Zm00001d039733_P001
OG0000065	AT1G07820.1	Zm00001d042954_P001
OG0000065	AT1G07820.1	Zm00001d008669_P001
OG0000065	AT1G07820.1	Zm00001d012439_P001
OG0000065	AT1G07820.1	Zm00001d010575_P001
OG0000065	AT1G07820.1	Zm00001d051478_P001
OG0000065	AT1G07660.1	Zm00001d020585_P001
OG0000065	AT1G07660.1	Zm00001d021477_P001
OG0000065	AT1G07660.1	Zm00001d020584_P001
OG0000065	AT1G07660.1	Zm00001d026015_P001
OG0000065	AT1G07660.1	Zm00001d005791_P001
OG0000065	AT1G07660.1	Zm00001d002543_P001
OG0000065	AT1G07660.1	Zm00001d002546_P001
OG0000065	AT1G07660.1	Zm00001d027394_P001
OG0000065	AT1G07660.1	Zm00001d039733_P001
OG0000065	AT1G07660.1	Zm00001d042954_P001
OG0000065	AT1G07660.1	Zm00001d008669_P001
OG0000065	AT1G07660.1	Zm00001d012439_P001
OG0000065	AT1G07660.1	Zm00001d010575_P001
OG0000065	AT1G07660.1	Zm00001d051478_P001
OG0000065	AT3G46320.1	Zm00001d020585_P001
OG0000065	AT3G46320.1	Zm00001d021477_P001
OG0000065	AT3G46320.1	Zm00001d020584_P001
OG0000065	AT3G46320.1	Zm00001d026015_P001
OG0000065	AT3G46320.1	Zm00001d005791_P001
OG0000065	AT3G46320.1	Zm00001d002543_P001
OG0000065	AT3G46320.1	Zm00001d002546_P001
OG0000065	AT3G46320.1	Zm00001d027394_P001
OG0000065	AT3G46320.1	Zm00001d039733_P001
OG0000065	AT3G46320.1	Zm00001d042954_P001
OG0000065	AT3G46320.1	Zm00001d008669_P001
OG0000065	AT3G46320.1	Zm00001d012439_P001
OG0000065	AT3G46320.1	Zm00001d010575_P001
OG0000065	AT3G46320.1	Zm00001d051478_P001
OG0000065	AT3G53730.1	Zm00001d020585_P001
OG0000065	AT3G53730.1	Zm00001d021477_P001
OG0000065	AT3G53730.1	Zm00001d020584_P001
OG0000065	AT3G53730.1	Zm00001d026015_P001
OG0000065	AT3G53730.1	Zm00001d005791_P001
OG0000065	AT3G53730.1	Zm00001d002543_P001
OG0000065	AT3G53730.1	Zm00001d002546_P001
OG0000065	AT3G53730.1	Zm00001d027394_P001
OG0000065	AT3G53730.1	Zm00001d039733_P001
OG0000065	AT3G53730.1	Zm00001d042954_P001
OG0000065	AT3G53730.1	Zm00001d008669_P001
OG0000065	AT3G53730.1	Zm00001d012439_P001
OG0000065	AT3G53730.1	Zm00001d010575_P001
OG0000065	AT3G53730.1	Zm00001d051478_P001
OG0000065	AT3G45930.1	Zm00001d020585_P001
OG0000065	AT3G45930.1	Zm00001d021477_P001
OG0000065	AT3G45930.1	Zm00001d020584_P001
OG0000065	AT3G45930.1	Zm00001d026015_P001
OG0000065	AT3G45930.1	Zm00001d005791_P001
OG0000065	AT3G45930.1	Zm00001d002543_P001
OG0000065	AT3G45930.1	Zm00001d002546_P001
OG0000065	AT3G45930.1	Zm00001d027394_P001
OG0000065	AT3G45930.1	Zm00001d039733_P001
OG0000065	AT3G45930.1	Zm00001d042954_P001
OG0000065	AT3G45930.1	Zm00001d008669_P001
OG0000065	AT3G45930.1	Zm00001d012439_P001
OG0000065	AT3G45930.1	Zm00001d010575_P001
OG0000065	AT3G45930.1	Zm00001d051478_P001
OG0000065	AT5G59690.1	Zm00001d020585_P001
OG0000065	AT5G59690.1	Zm00001d021477_P001
OG0000065	AT5G59690.1	Zm00001d020584_P001
OG0000065	AT5G59690.1	Zm00001d026015_P001
OG0000065	AT5G59690.1	Zm00001d005791_P001
OG0000065	AT5G59690.1	Zm00001d002543_P001
OG0000065	AT5G59690.1	Zm00001d002546_P001
OG0000065	AT5G59690.1	Zm00001d027394_P001
OG0000065	AT5G59690.1	Zm00001d039733_P001
OG0000065	AT5G59690.1	Zm00001d042954_P001
OG0000065	AT5G59690.1	Zm00001d008669_P001
OG0000065	AT5G59690.1	Zm00001d012439_P001
OG0000065	AT5G59690.1	Zm00001d010575_P001
OG0000065	AT5G59690.1	Zm00001d051478_P001
OG0000065	AT5G59970.1	Zm00001d020585_P001
OG0000065	AT5G59970.1	Zm00001d021477_P001
OG0000065	AT5G59970.1	Zm00001d020584_P001
OG0000065	AT5G59970.1	Zm00001d026015_P001
OG0000065	AT5G59970.1	Zm00001d005791_P001
OG0000065	AT5G59970.1	Zm00001d002543_P001
OG0000065	AT5G59970.1	Zm00001d002546_P001
OG0000065	AT5G59970.1	Zm00001d027394_P001
OG0000065	AT5G59970.1	Zm00001d039733_P001
OG0000065	AT5G59970.1	Zm00001d042954_P001
OG0000065	AT5G59970.1	Zm00001d008669_P001
OG0000065	AT5G59970.1	Zm00001d012439_P001
OG0000065	AT5G59970.1	Zm00001d010575_P001
OG0000065	AT5G59970.1	Zm00001d051478_P001
OG0000070	AT4G08878.1, AT4G08895.1, AT5G43340.1	Zm00001d025028_P001
OG0000070	AT5G43360.1, AT5G43350.1, AT5G43370.1, AT2G32830.1, AT2G38940.1, AT3G54700.1	Zm00001d027549_P001, Zm00001d031875_P001, Zm00001d027700_P001, Zm00001d004301_P001, Zm00001d032850_P001
OG0000074	AT2G45180.1	Zm00001d027290_P001
OG0000074	AT1G62510.1, AT1G12090.1, AT4G12520.1, AT4G12510.1, AT4G22460.1, AT4G12480.1, AT4G12470.1, AT4G12500.1, AT4G12490.1	Zm00001d029859_P001, Zm00001d047111_P001, Zm00001d026162_P001, Zm00001d051384_P001, Zm00001d017508_P001
OG0000077	AT3G30730.2	Zm00001d002040_P001, Zm00001d002706_P001, Zm00001d041915_P005, Zm00001d042222_P001, Zm00001d041253_P006
OG0000083	AT5G45890.1	Zm00001d025038_P001, Zm00001d004371_P001, Zm00001d037303_P001, Zm00001d037301_P001, Zm00001d045711_P001, Zm00001d045712_P001, Zm00001d045708_P001, Zm00001d045709_P001, Zm00001d045713_P001, Zm00001d008796_P001, Zm00001d004355_P001, Zm00001d004364_P001
OG0000084	AT2G16850.1, AT4G35100.1	Zm00001d022608_P001
OG0000084	AT2G39010.1, AT3G54820.1, AT5G60660.1, AT3G53420.1, AT2G37170.2, AT2G37180.1	Zm00001d019563_P006, Zm00001d005421_P001, Zm00001d014285_P001, Zm00001d003006_P001, Zm00001d051174_P002, Zm00001d017288_P001, Zm00001d019565_P001, Zm00001d005410_P001
OG0000085	AT4G08850.1, AT1G35710.1	Zm00001d002712_P001, Zm00001d000189_P001
OG0000088	AT5G03970.1	Zm00001d008212_P002
OG0000092	AT3G05580.1, AT5G27840.4	Zm00001d037601_P001, Zm00001d009844_P001
OG0000092	AT4G11240.1, AT1G64040.1	Zm00001d036285_P001, Zm00001d045213_P004
OG0000092	AT2G39840.1	Zm00001d047835_P003
OG0000092	AT3G46820.1, AT5G59160.1	Zm00001d031932_P002, Zm00001d053539_P001, Zm00001d046377_P001, Zm00001d000062_P001, Zm00001d018503_P002, Zm00001d051898_P001
OG0000093	AT4G18710.1, AT2G30980.1, AT1G06390.1	Zm00001d053548_P001, Zm00001d016188_P002, Zm00001d037010_P003, Zm00001d039407_P001, Zm00001d008893_P001
OG0000093	AT3G05840.1, AT5G26751.1	Zm00001d009055_P001, Zm00001d024729_P001
OG0000093	AT5G14640.1	Zm00001d008357_P002, Zm00001d040263_P003
OG0000094	AT1G07090.1, AT5G58500.1	Zm00001d043011_P001, Zm00001d012473_P001
OG0000094	AT3G04510.1, AT5G28490.1, AT2G31160.1, AT3G23290.2	Zm00001d015342_P001, Zm00001d046998_P001, Zm00001d036617_P001
OG0000094	AT2G42610.1, AT4G18610.1, AT1G78815.1, AT1G16910.1	Zm00001d051143_P001, Zm00001d017263_P001, Zm00001d003057_P001, Zm00001d025863_P001, Zm00001d014032_P001, Zm00001d032696_P001, Zm00001d018433_P001
OG0000098	AT1G75780.1, AT1G20010.1	Zm00001d013612_P002, Zm00001d033457_P001
OG0000098	AT4G20890.1, AT5G44340.1	Zm00001d015348_P002
OG0000098	AT5G23860.1, AT5G62690.1, AT5G62700.1, AT2G29550.1	Zm00001d027295_P002
OG0000099	AT1G67640.1, AT1G24400.1	Zm00001d002176_P001
OG0000099	AT1G48640.1, AT5G40780.1	Zm00001d037789_P001, Zm00001d024204_P001, Zm00001d031922_P001, Zm00001d021186_P001, Zm00001d035163_P001, Zm00001d035162_P001, Zm00001d035157_P001, Zm00001d049640_P002
OG0000101	AT5G64700.1	Zm00001d035713_P001, Zm00001d035714_P002, Zm00001d035717_P001, Zm00001d011088_P002, Zm00001d030507_P001, Zm00001d033284_P001, Zm00001d011083_P001
OG0000102	AT2G21140.1, AT4G38770.1	Zm00001d047933_P001, Zm00001d030305_P001, Zm00001d047934_P001, Zm00001d028405_P002, Zm00001d030316_P001, Zm00001d030314_P001
OG0000103	AT2G37040.1, AT3G53260.1, AT3G10340.1, AT5G04230.2	Zm00001d003016_P001, Zm00001d051161_P003, Zm00001d017274_P001, Zm00001d003015_P001, Zm00001d017279_P001, Zm00001d017276_P001, Zm00001d051166_P001, Zm00001d017275_P001, Zm00001d051163_P002, Zm00001d033286_P001
OG0000104	AT5G63850.1, AT5G09220.1, AT1G77380.1, AT1G44100.1	Zm00001d010231_P001, Zm00001d042619_P002, Zm00001d023593_P001, Zm00001d023592_P001, Zm00001d023596_P001, Zm00001d041842_P002, Zm00001d023603_P001, Zm00001d004705_P001, Zm00001d053143_P002
OG0000105	AT1G61720.1	Zm00001d026369_P003, Zm00001d026371_P001, Zm00001d026370_P001
OG0000109	AT5G26210.1	Zm00001d022110_P002
OG0000109	AT3G42790.1, AT5G20510.1	Zm00001d042582_P001, Zm00001d038208_P001, Zm00001d010241_P002, Zm00001d016861_P003, Zm00001d050816_P002, Zm00001d041767_P002, Zm00001d049007_P001
OG0000110	AT3G09440.2, AT5G02500.1, AT1G56410.1, AT5G02490.1	Zm00001d030725_P003, Zm00001d041550_P005, Zm00001d048687_P002
OG0000110	AT1G16030.1	Zm00001d047799_P002
OG0000110	AT3G12580.1	Zm00001d028630_P005
OG0000115	AT2G24190.2, AT1G01800.1	Zm00001d051246_P001, Zm00001d002848_P001, Zm00001d025922_P001, Zm00001d002847_P001, Zm00001d013022_P001, Zm00001d025924_P001, Zm00001d025923_P001
OG0000116	AT5G18600.1, AT3G21460.1, AT2G47870.1, AT3G62950.1	Zm00001d023872_P001, Zm00001d023869_P001, Zm00001d023870_P001, Zm00001d023873_P001, Zm00001d027695_P001, Zm00001d040836_P001, Zm00001d040837_P001
OG0000117	AT5G63520.1	Zm00001d007801_P001
OG0000125	AT2G16740.1, AT3G08700.1, AT5G56150.1	Zm00001d053897_P001
OG0000125	AT3G08690.1	Zm00001d019981_P003, Zm00001d001913_P001, Zm00001d010618_P003, Zm00001d043070_P001, Zm00001d012513_P001
OG0000126	AT3G30210.1	Zm00001d044107_P001
OG0000126	AT1G48000.1	Zm00001d048647_P001, Zm00001d030644_P001
OG0000126	AT2G47190.1, AT3G06490.1, AT5G49620.2	Zm00001d024726_P001, Zm00001d024725_P001, Zm00001d028930_P001, Zm00001d047579_P001
OG0000127	AT5G36130.1, AT5G36110.1, AT5G36140.1	Zm00001d048819_P001, Zm00001d014554_P001, Zm00001d006503_P001, Zm00001d021639_P001
OG0000129	AT3G03940.1, AT5G18190.2	Zm00001d012651_P004
OG0000129	AT3G13670.1	Zm00001d041186_P002
OG0000129	AT2G25760.2	Zm00001d012761_P002, Zm00001d039409_P004, Zm00001d037744_P001
OG0000130	AT4G02890.3	Zm00001d053834_P002
OG0000131	AT5G49610.1	Zm00001d046684_P001, Zm00001d028821_P001, Zm00001d028823_P001, Zm00001d028822_P001
OG0000136	AT1G21970.1, AT5G47670.3	Zm00001d051697_P001, Zm00001d017898_P001
OG0000136	AT4G14540.1, AT5G47640.1	Zm00001d022099_P001, Zm00001d006813_P001, Zm00001d029505_P001
OG0000136	AT2G38880.8, AT2G37060.2, AT3G53340.5	Zm00001d042968_P002, Zm00001d038397_P005, Zm00001d010574_P001
OG0000137	AT2G32510.1, AT1G05100.1, AT4G26890.1, AT5G55090.2	Zm00001d038883_P001, Zm00001d043742_P001, Zm00001d011654_P001, Zm00001d038884_P001, Zm00001d011656_P001, Zm00001d043740_P001, Zm00001d043738_P001, Zm00001d043741_P001, Zm00001d011655_P001
OG0000138	AT1G56145.2, AT1G56120.1, AT1G56140.1, AT1G56130.2	Zm00001d024291_P001, Zm00001d026303_P004, Zm00001d026306_P009, Zm00001d002312_P004
OG0000139	AT3G07840.1, AT3G07820.1, AT5G48140.1, AT3G07830.1	Zm00001d015820_P002, Zm00001d015821_P001, Zm00001d015825_P001, Zm00001d009341_P003, Zm00001d040965_P001, Zm00001d037013_P001, Zm00001d036816_P001, Zm00001d036815_P001, Zm00001d036824_P055, Zm00001d036819_P038, Zm00001d036820_P042, Zm00001d036823_P001, Zm00001d000355_P002, Zm00001d036822_P001, Zm00001d036821_P001
OG0000145	AT4G31470.1	Zm00001d041230_P001
OG0000145	AT3G19690.1, AT4G33720.1, AT4G33730.1, AT2G14580.1, AT2G14610.1	Zm00001d009296_P001, Zm00001d019364_P001, Zm00001d018734_P001, Zm00001d018738_P001
OG0000146	AT1G07930.1, AT1G07940.3, AT1G07920.1, AT5G60390.2	Zm00001d021788_P001, Zm00001d006596_P001, Zm00001d037873_P010, Zm00001d037877_P014, Zm00001d037875_P014, Zm00001d037905_P010, Zm00001d009868_P015, Zm00001d009870_P008, Zm00001d036904_P001, Zm00001d046449_P003
OG0000152	AT1G78300.1, AT1G35160.2, AT4G09000.2	Zm00001d052796_P003
OG0000152	AT5G38480.1, AT3G02520.2, AT5G16050.2	Zm00001d007446_P003, Zm00001d053090_P001
OG0000152	AT5G10450.4, AT5G65430.3	Zm00001d025617_P006, Zm00001d003401_P003, Zm00001d050375_P001, Zm00001d032231_P001, Zm00001d031688_P001, Zm00001d038649_P002
OG0000153	AT1G65730.1, AT1G48370.1, AT3G17650.1	Zm00001d026604_P001, Zm00001d025889_P001, Zm00001d002974_P001, Zm00001d002972_P001, Zm00001d025888_P003, Zm00001d025887_P001, Zm00001d051193_P004, Zm00001d017323_P001
OG0000154	AT1G27440.1, AT5G61840.1	Zm00001d042279_P001, Zm00001d042281_P001, Zm00001d011964_P001, Zm00001d003878_P001, Zm00001d009465_P001, Zm00001d011959_P002, Zm00001d042276_P001
OG0000159	AT5G57520.1	Zm00001d020577_P001, Zm00001d005788_P001, Zm00001d020575_P001, Zm00001d020574_P001, Zm00001d020573_P001, Zm00001d005787_P001, Zm00001d005786_P001
OG0000164	AT1G64000.1, AT5G41570.1, AT2G46130.1	Zm00001d038761_P002, Zm00001d010805_P001, Zm00001d012789_P001
OG0000164	AT5G49520.1, AT2G47260.1, AT3G62340.1, AT1G69310.2	Zm00001d018656_P001, Zm00001d034073_P001
OG0000164	AT1G29860.1, AT4G18170.1, AT5G46350.1	Zm00001d039032_P001
OG0000165	AT3G62760.1	Zm00001d012675_P001
OG0000169	AT2G05070.1, AT3G27690.2	Zm00001d033136_P001, Zm00001d033132_P001
OG0000169	AT2G34430.1, AT2G34420.1, AT1G29920.1, AT1G29910.1, AT1G29930.1	Zm00001d009589_P001, Zm00001d039040_P001, Zm00001d044396_P001, Zm00001d044399_P001, Zm00001d044401_P001, Zm00001d044402_P001, Zm00001d011285_P001
OG0000170	AT1G74100.1, AT1G18590.1, AT1G74090.1, AT5G07010.1, AT2G03760.1, AT2G03770.1, AT2G03750.1, AT4G26280.1, AT2G27570.1, AT3G45080.1, AT3G45070.2, AT5G43690.1, AT3G51210.1, AT1G13420.1, AT2G14920.1, AT1G13430.1, AT1G28170.1	Zm00001d033514_P001, Zm00001d033516_P002
OG0000171	AT1G55130.1, AT3G13772.1	Zm00001d046335_P001
OG0000171	AT2G24170.1, AT5G10840.1, AT5G25100.2	Zm00001d000428_P001, Zm00001d036715_P001, Zm00001d021392_P002, Zm00001d006328_P001, Zm00001d050484_P003, Zm00001d031986_P001, Zm00001d031988_P001, Zm00001d024141_P001
OG0000172	AT4G18050.2, AT5G46540.1	Zm00001d009447_P002, Zm00001d009448_P001, Zm00001d043762_P001
